index,result_date,description,lamax,laeq,lceq,lcpeak,result_month,result_day
0,2022-01-01,MP 03: Naamsestraat 62 Taste,51.66524189814815,49.99263657407407,59.345285069444444,71.19060104166667,1.0,1.0
1,2022-01-01,MP 05: Calvariekapel KU Leuven,48.747475636010094,46.50406722377833,54.970849903932965,67.55791881756522,1.0,1.0
2,2022-01-01,MP 06: Parkstraat 2 La Filosovia,48.270004629629625,46.0072199074074,54.28613055555555,67.32132881944445,1.0,1.0
3,2022-01-01,MP 07: Naamsestraat 81,45.908501354198016,44.373056089261325,55.52665026968217,66.98894523021366,1.0,1.0
4,2022-01-02,MP 03: Naamsestraat 62 Taste,51.4072966493323,50.094017905745815,59.816366268632514,71.54545187106937,1.0,2.0
5,2022-01-02,MP 05: Calvariekapel KU Leuven,47.95905653165935,46.29793145782421,56.015342652969046,68.14043189214857,1.0,2.0
6,2022-01-02,MP 06: Parkstraat 2 La Filosovia,46.79485528312158,45.0855792728831,54.340200368307066,67.13945715245364,1.0,2.0
7,2022-01-02,MP 07: Naamsestraat 81,45.84608756080612,44.65338545286078,56.34689738244151,67.80718346073662,1.0,2.0
8,2022-01-03,MP 03: Naamsestraat 62 Taste,53.21336936770102,51.830319795368,61.097235963379205,72.98946723920416,1.0,3.0
9,2022-01-03,MP 05: Calvariekapel KU Leuven,50.14753009259259,48.66018402777778,58.23443368055556,70.32704548611112,1.0,3.0
10,2022-01-03,MP 06: Parkstraat 2 La Filosovia,49.6336763156981,48.03521337052512,56.86684186159562,69.41421833586037,1.0,3.0
11,2022-01-03,MP 07: Naamsestraat 81,48.756939814814814,47.57414351851852,58.60070023148148,70.12328703703703,1.0,3.0
12,2022-01-04,MP 03: Naamsestraat 62 Taste,53.49949189814814,52.079018518518524,61.017148032407405,72.92168796296296,1.0,4.0
13,2022-01-04,MP 05: Calvariekapel KU Leuven,50.54143797960625,48.80547575782127,57.123067049387146,69.39094318221275,1.0,4.0
14,2022-01-04,MP 06: Parkstraat 2 La Filosovia,49.79419791666667,48.186160879629625,56.43194583333334,69.15147337962962,1.0,4.0
15,2022-01-04,MP 07: Naamsestraat 81,49.582199074074076,48.295775462962965,58.13922546296296,69.74554768518519,1.0,4.0
16,2022-01-05,MP 03: Naamsestraat 62 Taste,52.90646180555555,51.50544328703703,60.94212708333334,72.65810231481481,1.0,5.0
17,2022-01-05,MP 05: Calvariekapel KU Leuven,49.648748842592596,48.14356018518519,57.087162962962964,69.02623425925925,1.0,5.0
18,2022-01-05,MP 06: Parkstraat 2 La Filosovia,49.25216435185185,47.535864583333336,56.29981435185185,69.07411493055555,1.0,5.0
19,2022-01-05,MP 07: Naamsestraat 81,48.06493865740741,46.746553240740745,57.991338078703706,69.37304699074073,1.0,5.0
20,2022-01-06,MP 03: Naamsestraat 62 Taste,54.079946527158874,52.71082535677496,62.2274003171333,73.7514488593618,1.0,6.0
21,2022-01-06,MP 05: Calvariekapel KU Leuven,49.81469924420422,48.175055266843366,57.095463026192434,69.11621396080973,1.0,6.0
22,2022-01-06,MP 06: Parkstraat 2 La Filosovia,49.207559027777776,47.44976041666666,56.273389120370375,69.000809375,1.0,6.0
23,2022-01-06,MP 07: Naamsestraat 81,48.20806490815866,46.92855588606349,58.001775367770456,69.2920607877406,1.0,6.0
24,2022-01-07,MP 03: Naamsestraat 62 Taste,53.82398920896628,52.44381599666543,61.914460911448685,73.5564234438681,1.0,7.0
25,2022-01-07,MP 05: Calvariekapel KU Leuven,51.21043658418019,49.51405472348897,58.60732216023519,70.81602699136553,1.0,7.0
26,2022-01-07,MP 06: Parkstraat 2 La Filosovia,50.457028935185186,48.75929976851852,57.68705833333333,70.18438368055556,1.0,7.0
27,2022-01-07,MP 07: Naamsestraat 81,49.753456637229604,48.48692808944548,59.94178115487448,71.29333753862892,1.0,7.0
28,2022-01-08,MP 03: Naamsestraat 62 Taste,53.05715972768953,51.66026258509702,60.33445410549715,72.28939517436206,1.0,8.0
29,2022-01-08,MP 05: Calvariekapel KU Leuven,50.322100694444444,48.61641203703704,56.64188611111111,69.00065578703703,1.0,8.0
30,2022-01-08,MP 06: Parkstraat 2 La Filosovia,49.690703703703704,47.88179861111111,56.0728056712963,69.07475289351852,1.0,8.0
31,2022-01-08,MP 07: Naamsestraat 81,48.46135532407408,47.31840509259259,57.676190856481476,69.22868935185186,1.0,8.0
32,2022-01-09,MP 03: Naamsestraat 62 Taste,52.15087642063557,50.71692829917629,60.09139902915996,72.02562507964828,1.0,9.0
33,2022-01-09,MP 05: Calvariekapel KU Leuven,48.685593749999995,46.90431712962963,55.85220960648148,68.25458842592593,1.0,9.0
34,2022-01-09,MP 06: Parkstraat 2 La Filosovia,47.71953147605875,45.9360027315131,54.6173473072605,67.5354861746085,1.0,9.0
35,2022-01-09,MP 07: Naamsestraat 81,46.89307175925926,45.54579282407408,57.80972638888889,69.31453206018519,1.0,9.0
36,2022-01-10,MP 03: Naamsestraat 62 Taste,52.810841783581054,51.38917789507802,61.41424237162569,72.9365740612122,1.0,10.0
37,2022-01-10,MP 05: Calvariekapel KU Leuven,49.92377397363334,48.11617880250472,57.34580575714435,69.5052269176013,1.0,10.0
38,2022-01-10,MP 06: Parkstraat 2 La Filosovia,49.58696844834372,47.80659043033403,57.24481909303456,69.79550116900855,1.0,10.0
39,2022-01-10,MP 07: Naamsestraat 81,48.10083796296296,46.892212962962965,58.60511469907408,69.7255457175926,1.0,10.0
40,2022-01-11,MP 03: Naamsestraat 62 Taste,53.23357203276903,51.824553597293196,61.88856977323554,73.40515324272025,1.0,11.0
41,2022-01-11,MP 05: Calvariekapel KU Leuven,50.684709490740744,48.94465046296296,57.90980173611111,70.03774618055554,1.0,11.0
42,2022-01-11,MP 06: Parkstraat 2 La Filosovia,50.08703819444444,48.30732638888889,57.683520601851846,70.2495505787037,1.0,11.0
43,2022-01-11,MP 07: Naamsestraat 81,48.683596064814814,47.478658564814815,58.94582824074074,70.10551226851851,1.0,11.0
44,2022-01-12,MP 03: Naamsestraat 62 Taste,53.43261614711196,52.00471768030016,61.74674903886238,73.29812902404002,1.0,12.0
45,2022-01-12,MP 05: Calvariekapel KU Leuven,50.569657056215924,48.70342017847429,57.34205905160939,69.63179238185627,1.0,12.0
46,2022-01-12,MP 06: Parkstraat 2 La Filosovia,50.34115277777777,48.47195601851852,57.663273842592595,70.29561898148148,1.0,12.0
47,2022-01-12,MP 07: Naamsestraat 81,49.417341435185186,48.08020833333333,59.37479861111111,70.56311481481481,1.0,12.0
48,2022-01-13,MP 03: Naamsestraat 62 Taste,53.75165972222223,52.344765046296295,62.37170104166666,73.86432025462962,1.0,13.0
49,2022-01-13,MP 05: Calvariekapel KU Leuven,51.002366898148146,49.20383101851852,58.50202581018519,70.62360219907409,1.0,13.0
50,2022-01-13,MP 06: Parkstraat 2 La Filosovia,51.48068055555555,49.68713657407407,59.00309039351852,71.44963125,1.0,13.0
51,2022-01-13,MP 07: Naamsestraat 81,51.03495682770435,49.84718859232853,61.06381617630038,72.21789022894049,1.0,13.0
52,2022-01-14,MP 03: Naamsestraat 62 Taste,54.6969959367005,53.16031858120232,62.88175289119387,74.47317770857691,1.0,14.0
