description,result_timestamp,noise_event_laeq_primary_detected_certainty,noise_event_laeq_primary_detected_class,certainty_percentage,month,day,hour,minute,second,milliseconds,lamax,laeq
MP 03: Naamsestraat 62 Taste,2022-01-01 00:01:31.362,,,,1,1,0,1,31,362,70.4,68.8
MP 03: Naamsestraat 62 Taste,2022-01-01 00:02:19.368,,,,1,1,0,2,19,368,,
MP 03: Naamsestraat 62 Taste,2022-01-01 00:02:23.368,,,,1,1,0,2,23,368,,
MP 03: Naamsestraat 62 Taste,2022-01-01 00:02:33.370,,,,1,1,0,2,33,370,93.4,87.4
MP 03: Naamsestraat 62 Taste,2022-01-01 00:02:57.373,,,,1,1,0,2,57,373,94.3,87.0
MP 03: Naamsestraat 62 Taste,2022-01-01 00:03:19.377,,,,1,1,0,3,19,377,,
MP 03: Naamsestraat 62 Taste,2022-01-01 00:03:41.379,,,,1,1,0,3,41,379,,
MP 03: Naamsestraat 62 Taste,2022-01-01 00:08:25.420,,,,1,1,0,8,25,420,,
MP 03: Naamsestraat 62 Taste,2022-01-01 00:08:54.423,,,,1,1,0,8,54,423,89.7,81.8
MP 03: Naamsestraat 62 Taste,2022-01-01 00:09:10.426,,,,1,1,0,9,10,426,78.8,75.0
MP 03: Naamsestraat 62 Taste,2022-01-01 00:09:23.428,,,,1,1,0,9,23,428,80.0,72.8
MP 03: Naamsestraat 62 Taste,2022-01-01 00:15:06.928,,,,1,1,0,15,6,928,100.5,95.6
MP 03: Naamsestraat 62 Taste,2022-01-01 00:15:46.934,,,,1,1,0,15,46,934,101.4,95.5
MP 03: Naamsestraat 62 Taste,2022-01-01 00:16:11.937,,,,1,1,0,16,11,937,,
MP 03: Naamsestraat 62 Taste,2022-01-01 00:16:16.938,,,,1,1,0,16,16,938,93.0,87.8
MP 03: Naamsestraat 62 Taste,2022-01-01 00:16:21.939,,,,1,1,0,16,21,939,,
MP 03: Naamsestraat 62 Taste,2022-01-01 00:16:39.941,,,,1,1,0,16,39,941,83.1,75.8
MP 03: Naamsestraat 62 Taste,2022-01-01 00:16:45.942,,,,1,1,0,16,45,942,83.2,79.5
MP 03: Naamsestraat 62 Taste,2022-01-01 00:17:27.948,,,,1,1,0,17,27,948,75.0,70.0
MP 03: Naamsestraat 62 Taste,2022-01-01 00:29:10.140,,,,1,1,0,29,10,140,73.7,70.2
MP 03: Naamsestraat 62 Taste,2022-01-01 01:57:51.970,,,,1,1,1,57,51,970,,
MP 03: Naamsestraat 62 Taste,2022-01-01 02:01:38.123,,,,1,1,2,1,38,123,,
MP 03: Naamsestraat 62 Taste,2022-01-01 06:28:39.336,,,,1,1,6,28,39,336,76.0,70.6
MP 03: Naamsestraat 62 Taste,2022-01-02 08:18:26.404,,,,1,2,8,18,26,404,71.0,68.9
MP 03: Naamsestraat 62 Taste,2022-01-02 17:25:15.552,,,,1,2,17,25,15,552,72.7,71.3
MP 03: Naamsestraat 62 Taste,2022-01-02 19:49:38.614,,,,1,2,19,49,38,614,70.3,69.2
MP 03: Naamsestraat 62 Taste,2022-01-02 19:51:47.614,,,,1,2,19,51,47,614,,
MP 03: Naamsestraat 62 Taste,2022-01-02 19:55:47.611,,,,1,2,19,55,47,611,81.3,78.8
MP 03: Naamsestraat 62 Taste,2022-01-02 20:18:41.629,,,,1,2,20,18,41,629,70.6,68.7
MP 03: Naamsestraat 62 Taste,2022-01-02 20:30:17.625,,,,1,2,20,30,17,625,74.3,72.3
MP 03: Naamsestraat 62 Taste,2022-01-02 21:15:59.612,,,,1,2,21,15,59,612,73.2,70.5
MP 03: Naamsestraat 62 Taste,2022-01-03 06:39:21.769,,,,1,3,6,39,21,769,69.2,68.1
MP 03: Naamsestraat 62 Taste,2022-01-03 11:21:26.834,,,,1,3,11,21,26,834,69.5,68.3
MP 03: Naamsestraat 62 Taste,2022-01-03 17:34:17.938,,,,1,3,17,34,17,938,,
MP 03: Naamsestraat 62 Taste,2022-01-03 19:06:49.945,,,,1,3,19,6,49,945,,
MP 03: Naamsestraat 62 Taste,2022-01-03 19:41:10.230,,,,1,3,19,41,10,230,72.7,70.7
MP 03: Naamsestraat 62 Taste,2022-01-03 19:42:38.245,,,,1,3,19,42,38,245,72.1,68.2
