,0
0,1.3392169420885152
1,1.5718742118521634
2,1.8045314816158118
3,2.03718875137946
4,2.2698460211431084
5,2.5025032909067564
6,2.735160560670405
7,2.9678178304340532
8,3.2004751001977017
9,3.4331323699613496
10,3.665789639724998
11,3.8984469094886465
12,4.1311041792522945
13,4.363761449015943
14,4.596418718779591
15,4.82907598854324
16,5.061733258306887
17,5.294390528070537
18,5.527047797834184
19,5.7597050675978325
20,5.992362337361481
21,6.225019607125129
22,6.457676876888778
23,6.690334146652425
24,6.922991416416074
25,7.155648686179722
26,7.388305955943371
27,7.620963225707019
28,7.853620495470667
29,8.086277765234314
30,8.318935034997963
31,8.551592304761613
32,8.78424957452526
33,9.016906844288908
34,9.249564114052557
35,9.482221383816206
36,9.714878653579852
37,9.947535923343501
38,10.18019319310715
39,10.412850462870797
40,10.645507732634446
41,10.878165002398095
42,11.110822272161744
43,11.34347954192539
44,11.57613681168904
45,11.808794081452689
46,12.041451351216335
47,12.274108620979984
48,12.506765890743633
49,12.739423160507283
50,12.972080430270928
51,13.204737700034578
52,13.437394969798227
53,13.670052239561873
54,13.902709509325522
55,14.135366779089171
56,14.36802404885282
57,14.600681318616466
58,14.833338588380116
59,15.065995858143765
60,15.29865312790741
61,15.53131039767106
62,15.76396766743471
63,15.996624937198359
64,16.229282206962004
65,16.461939476725654
66,16.694596746489303
67,16.92725401625295
68,17.159911286016598
69,17.392568555780247
70,17.625225825543897
71,17.857883095307542
72,18.090540365071192
73,18.32319763483484
74,18.55585490459849
75,18.788512174362136
76,19.021169444125785
77,19.253826713889435
78,19.48648398365308
79,19.71914125341673
80,19.95179852318038
81,20.18445579294403
82,20.417113062707674
83,20.649770332471324
84,20.882427602234973
85,21.11508487199862
86,21.347742141762268
87,21.580399411525917
88,21.813056681289567
89,22.045713951053212
90,22.27837122081686
91,22.51102849058051
92,22.743685760344157
93,22.976343030107806
94,23.209000299871455
95,23.441657569635105
96,23.67431483939875
97,23.9069721091624
98,24.13962937892605
99,24.372286648689695
