,0
0,26.785510694000997
1,29.284488325188796
2,31.783465956376592
3,34.28244358756439
4,36.781421218752186
5,39.280398849939985
6,41.779376481127784
7,44.27835411231558
8,46.77733174350338
9,49.27630937469118
10,51.77528700587897
11,54.27426463706677
12,56.77324226825457
13,59.27221989944237
14,61.77119753063016
15,64.27017516181796
16,66.76915279300576
17,69.26813042419356
18,71.76710805538136
19,74.26608568656914
20,76.76506331775695
21,79.26404094894474
22,81.76301858013255
23,84.26199621132034
24,86.76097384250815
25,89.25995147369593
26,91.75892910488375
27,94.25790673607153
28,96.75688436725932
29,99.25586199844713
30,101.75483962963492
31,104.25381726082273
32,106.75279489201051
33,109.25177252319833
34,111.75075015438611
35,114.24972778557392
36,116.74870541676171
37,119.24768304794952
38,121.7466606791373
39,124.24563831032509
40,126.7446159415129
41,129.2435935727007
42,131.7425712038885
43,134.2415488350763
44,136.7405264662641
45,139.23950409745188
46,141.7384817286397
47,144.23745935982748
48,146.7364369910153
49,149.23541462220308
50,151.73439225339087
51,154.23336988457868
52,156.7323475157665
53,159.23132514695428
54,161.73030277814206
55,164.22928040932987
56,166.72825804051766
57,169.22723567170547
58,171.72621330289326
59,174.22519093408107
60,176.72416856526885
61,179.22314619645667
62,181.72212382764445
63,184.22110145883227
64,186.72007909002005
65,189.21905672120783
66,191.71803435239565
67,194.21701198358343
68,196.71598961477125
69,199.21496724595903
70,201.71394487714684
71,204.21292250833463
72,206.71190013952244
73,209.21087777071023
74,211.70985540189804
75,214.20883303308582
76,216.7078106642736
77,219.20678829546142
78,221.7057659266492
79,224.20474355783702
80,226.7037211890248
81,229.20269882021262
82,231.7016764514004
83,234.20065408258822
84,236.699631713776
85,239.1986093449638
86,241.6975869761516
87,244.19656460733938
88,246.6955422385272
89,249.19451986971498
90,251.6934975009028
91,254.19247513209058
92,256.6914527632784
93,259.19043039446615
94,261.68940802565396
95,264.1883856568418
96,266.6873632880296
97,269.18634091921734
98,271.68531855040516
99,274.18429618159297
