,0
0,40.93722222222223
1,55.75402777777778
2,63.1265
3,55.13236111111111
4,53.60730555555556
5,43.39416666666666
6,56.296
7,58.20644444444445
8,55.64611111111111
9,52.935805555555554
10,42.524027777777775
11,54.56625
12,52.76111111111111
13,60.49513888888889
14,55.75252777777778
15,56.51140790205898
16,53.06636111111111
17,53.33938888888888
18,54.81130555555556
19,52.12741666666667
20,54.83422222222222
21,46.48744444444444
22,49.94472222222223
23,55.38238888888889
24,52.49622222222222
25,53.82955555555555
26,53.818444444444445
27,43.06633333333333
28,54.88813888888888
29,59.610888888888894
30,57.51041666666666
31,42.158027777777775
32,54.53241666666667
33,38.41852777777778
34,54.67458333333333
35,55.70830555555556
36,42.18947222222222
37,41.586194444444445
38,50.84497222222222
39,60.50652777777778
40,47.54983333333333
41,52.58780555555556
42,56.52213888888889
43,55.97497222222222
44,37.52816666666666
45,52.898944444444446
