,0
0,21.106482289062
1,25.945093501529243
2,30.783704713996485
3,35.62231592646373
4,40.46092713893097
5,45.29953835139821
6,50.13814956386546
7,54.9767607763327
8,59.815371988799946
9,64.65398320126718
10,69.49259441373442
11,74.33120562620167
12,79.16981683866892
13,84.00842805113616
14,88.8470392636034
15,93.68565047607065
16,98.52426168853789
17,103.36287290100513
18,108.20148411347238
19,113.04009532593962
20,117.87870653840686
21,122.7173177508741
22,127.55592896334134
23,132.39454017580857
24,137.23315138827584
25,142.07176260074309
26,146.91037381321033
27,151.74898502567757
28,156.5875962381448
29,161.42620745061205
30,166.2648186630793
31,171.10342987554654
32,175.94204108801378
33,180.78065230048102
34,185.61926351294827
35,190.4578747254155
36,195.29648593788275
37,200.13509715035
38,204.97370836281723
39,209.81231957528448
40,214.65093078775172
41,219.48954200021896
42,224.3281532126862
43,229.16676442515345
44,234.0053756376207
45,238.84398685008793
46,243.68259806255517
47,248.52120927502241
48,253.35982048748969
49,258.1984316999569
50,263.03704291242417
51,267.8756541248914
52,272.71426533735865
53,277.5528765498259
54,282.39148776229314
55,287.2300989747604
56,292.0687101872276
57,296.90732139969487
58,301.7459326121621
59,306.58454382462935
60,311.4231550370966
61,316.26176624956383
62,321.1003774620311
63,325.9389886744983
64,330.77759988696556
65,335.6162110994328
66,340.45482231190005
67,345.2934335243673
68,350.13204473683453
69,354.9706559493018
70,359.809267161769
71,364.64787837423626
72,369.4864895867035
73,374.32510079917074
74,379.163712011638
75,384.0023232241052
76,388.84093443657247
77,393.6795456490397
78,398.51815686150695
79,403.3567680739742
80,408.19537928644144
81,413.0339904989087
82,417.8726017113759
83,422.71121292384316
84,427.5498241363104
85,432.38843534877765
86,437.2270465612449
87,442.06565777371213
88,446.9042689861794
89,451.7428801986466
90,456.58149141111386
91,461.4201026235811
92,466.25871383604834
93,471.0973250485156
94,475.9359362609828
95,480.77454747345007
96,485.61315868591737
97,490.4517698983846
98,495.29038111085185
99,500.12899232331904
