,0
0,0.008339969135802405
1,0.01820765961453786
2,0.02807535009327331
3,0.03794304057200877
4,0.04781073105074422
5,0.057678421529479676
6,0.06754611200821513
7,0.07741380248695058
8,0.08728149296568603
9,0.09714918344442149
10,0.10701687392315694
11,0.11688456440189239
12,0.12675225488062786
13,0.1366199453593633
14,0.14648763583809876
15,0.15635532631683421
16,0.16622301679556967
17,0.17609070727430512
18,0.18595839775304057
19,0.19582608823177602
20,0.20569377871051148
21,0.21556146918924693
22,0.22542915966798238
23,0.23529685014671783
24,0.24516454062545331
25,0.25503223110418877
26,0.26489992158292425
27,0.27476761206165967
28,0.28463530254039515
29,0.2945029930191306
30,0.30437068349786606
31,0.3142383739766015
32,0.32410606445533696
33,0.33397375493407244
34,0.34384144541280787
35,0.35370913589154335
36,0.36357682637027877
37,0.37344451684901425
38,0.3833122073277497
39,0.39317989780648516
40,0.4030475882852206
41,0.41291527876395606
42,0.4227829692426915
43,0.43265065972142697
44,0.4425183502001624
45,0.45238604067889787
46,0.4622537311576333
47,0.4721214216363688
48,0.48198911211510426
49,0.4918568025938397
50,0.5017244930725752
51,0.5115921835513105
52,0.521459874030046
53,0.5313275645087815
54,0.5411952549875169
55,0.5510629454662523
56,0.5609306359449878
57,0.5707983264237233
58,0.5806660169024587
59,0.5905337073811942
60,0.6004013978599296
61,0.6102690883386651
62,0.6201367788174005
63,0.630004469296136
64,0.6398721597748714
65,0.6497398502536069
66,0.6596075407323424
67,0.6694752312110778
68,0.6793429216898133
69,0.6892106121685487
70,0.6990783026472842
71,0.7089459931260196
72,0.7188136836047551
73,0.7286813740834905
74,0.738549064562226
75,0.7484167550409614
76,0.7582844455196969
77,0.7681521359984324
78,0.7780198264771678
79,0.7878875169559032
80,0.7977552074346387
81,0.8076228979133742
82,0.8174905883921096
83,0.8273582788708451
84,0.8372259693495805
85,0.847093659828316
86,0.8569613503070515
87,0.8668290407857869
88,0.8766967312645223
89,0.8865644217432578
90,0.8964321122219933
91,0.9062998027007287
92,0.9161674931794641
93,0.9260351836581996
94,0.9359028741369351
95,0.9457705646156706
96,0.955638255094406
97,0.9655059455731414
98,0.9753736360518769
99,0.9852413265306124
