,0
0,52.94468328126042
1,52.97544590978699
2,53.069144966245034
3,53.170294945945166
4,53.21224778682224
5,53.20791157845904
6,53.20715918494893
7,53.20845772584471
8,53.21169557733259
9,53.21173319844118
10,53.21214631173819
11,53.215900092537076
12,53.21470205880353
13,53.217196514771395
14,53.219044145637916
15,53.220878616996345
16,53.22092758825879
17,53.221757499787344
18,53.22155610830709
19,53.20650936012849
20,53.25750261714188
21,53.257853317984576
22,53.194077461061774
23,53.197134001619496
24,53.185650314484995
25,53.18341094842793
26,53.18566670466698
27,53.22321606874006
28,53.25015929937048
29,53.26173322267881
30,53.26328154669395
31,53.2684008341253
32,53.27394755636897
33,53.27451480048073
34,53.27461603365457
35,53.28068938846013
36,53.28426234789069
37,53.29291127830738
38,53.299507504235436
39,53.29929268091735
40,53.31033991057241
41,53.30917086851383
42,53.3099821642145
43,53.31276407785351
44,53.313623598851876
45,53.31733368657598
46,53.32230038528323
47,53.33134649123101
48,53.33674366775283
49,53.34136430987118
50,53.341251457853915
51,53.36300204620618
52,53.36573443194494
53,53.368854888251946
54,53.36832471617409
55,53.36927854812967
56,53.36884761789602
57,53.36944256710928
58,53.37196438608869
59,53.373299887774806
60,53.37692038671619
61,53.37836218214391
62,53.379177379685096
63,53.3930897021923
64,53.39309474181986
65,53.39026059388315
66,53.38780326648571
67,53.38746371496136
68,53.38805919182636
69,53.38730740745069
70,53.38824786125381
71,53.39201707227302
72,53.39822859642215
73,53.39955545215747
74,53.35733550424115
75,53.353457612235985
76,53.356991411000244
77,53.35667204993267
78,53.35706773459699
79,53.3560369574844
80,53.36725213660907
81,53.37723663895606
82,53.3804534780558
83,53.380920055368726
84,53.380290006886185
85,53.38178768952845
86,53.38300298224403
87,53.38790964091873
88,53.386073455046485
89,53.38399458823713
90,53.38267952074878
91,53.38058843476564
92,53.379316817019024
93,53.38036145330758
94,53.3765604085514
95,53.376444757151006
96,53.377822240232035
97,53.374442619707764
98,53.37686195371087
99,53.361540101138424
