,0
0,52.96076580179791
1,53.05520247083758
2,53.03561382622075
3,53.01602559716358
4,53.09469661156405
5,53.1224553512851
6,53.10973989165411
7,53.09437468221175
8,53.0831818918841
9,53.073060986593596
10,53.05921007539496
11,53.07475620377261
12,53.07187876017904
13,53.07947693845777
14,53.06923246844858
15,53.065523578311584
16,53.05958065283268
17,53.06696589510984
18,53.09404791782797
19,53.09668387709143
20,53.08838847021501
21,53.08939762723585
22,53.095783415468446
23,53.08327197047902
24,53.0751667061808
25,53.06638220126841
26,53.06932856571588
27,53.07016388127329
28,53.06546901185045
29,53.068471821227824
30,53.046114639214906
31,53.06017116350696
32,53.07996187758987
33,53.106714917298035
34,53.098634318346555
35,53.10497838974241
36,53.11204981140733
37,53.12477322408051
38,53.135131642429926
39,53.12465823303647
40,53.128264995821056
41,53.12661068704761
42,53.13281974055508
43,53.13962976368875
44,53.13491278176293
45,53.138906901281935
46,53.1423515718522
47,53.14134346078266
48,53.146001140527
49,53.14968879006829
50,53.14357238495122
51,53.14725972550256
52,53.144910225504525
53,53.137242731425154
54,53.137493248440855
55,53.14345247727104
56,53.15812992533757
57,53.16049886125468
58,53.15767141140069
59,53.15351711087186
60,53.15291651203787
61,53.15883341616306
62,53.15847614290801
63,53.15670668899213
64,53.16236192863578
65,53.166946608603844
66,53.16845923540915
67,53.17620858505523
68,53.179692858648686
69,53.18199317907988
70,53.198904148349754
71,53.18453465525313
72,53.18603455866049
73,53.17695974714651
74,53.1812833286453
75,53.18414398173498
76,53.21713216781734
77,53.260440287816344
78,53.263253289927874
79,53.28285139389806
80,53.283058269693825
81,53.28918658421092
82,53.28729800378438
83,53.29398522428639
84,53.29891712525674
85,53.309491522921924
86,53.32972801699345
87,53.36554621785657
88,53.41130423363821
89,53.43969261736154
90,53.44462690230995
91,53.4264663752242
92,53.427121260541696
93,53.431135236639804
94,53.43407333318924
95,53.46310461099547
96,53.46724285978054
97,53.46880487741951
98,53.471806047364396
99,53.49591025710012
