,0
0,0.0
1,7.505751964085225e-05
2,0.0001501150392817045
3,0.00022517255892255675
4,0.000300230078563409
5,0.00037528759820426127
6,0.0004503451178451135
7,0.0005254026374859657
8,0.000600460157126818
9,0.0006755176767676703
10,0.0007505751964085225
11,0.0008256327160493747
12,0.000900690235690227
13,0.0009757477553310793
14,0.0010508052749719314
15,0.0011258627946127838
16,0.001200920314253636
17,0.0012759778338944882
18,0.0013510353535353405
19,0.0014260928731761927
20,0.001501150392817045
21,0.0015762079124578973
22,0.0016512654320987494
23,0.0017263229517396018
24,0.001801380471380454
25,0.0018764379910213061
26,0.0019514955106621585
27,0.002026553030303011
28,0.002101610549943863
29,0.0021766680695847153
30,0.0022517255892255676
31,0.0023267831088664196
32,0.002401840628507272
33,0.0024768981481481244
34,0.0025519556677889763
35,0.0026270131874298287
36,0.002702070707070681
37,0.002777128226711533
38,0.0028521857463523854
39,0.002927243265993238
40,0.00300230078563409
41,0.003077358305274942
42,0.0031524158249157945
43,0.003227473344556647
44,0.003302530864197499
45,0.0033775883838383512
46,0.0034526459034792036
47,0.0035277034231200556
48,0.003602760942760908
49,0.0036778184624017603
50,0.0037528759820426123
51,0.0038279335016834647
52,0.003902991021324317
53,0.003978048540965169
54,0.004053106060606022
55,0.004128163580246874
56,0.004203221099887726
57,0.0042782786195285786
58,0.0043533361391694305
59,0.0044283936588102825
60,0.004503451178451135
61,0.004578508698091987
62,0.004653566217732839
63,0.004728623737373692
64,0.004803681257014544
65,0.004878738776655396
66,0.004953796296296249
67,0.005028853815937101
68,0.005103911335577953
69,0.0051789688552188054
70,0.005254026374859657
71,0.005329083894500509
72,0.005404141414141362
73,0.005479198933782214
74,0.005554256453423066
75,0.005629313973063919
76,0.005704371492704771
77,0.005779429012345623
78,0.005854486531986476
79,0.0059295440516273275
80,0.00600460157126818
81,0.006079659090909032
82,0.006154716610549884
83,0.006229774130190737
84,0.006304831649831589
85,0.006379889169472441
86,0.006454946689113294
87,0.006530004208754146
88,0.006605061728394998
89,0.0066801192480358505
90,0.0067551767676767025
91,0.006830234287317554
92,0.006905291806958407
93,0.006980349326599259
94,0.007055406846240111
95,0.007130464365880964
96,0.007205521885521816
97,0.007280579405162668
98,0.007355636924803521
99,0.007430694444444373
