,0
mon,0.026809219
tue,0.003423638
wed,0.00366031
thu,0.009024997
fri,0.032847167
sat,0.078754082
sun,0.153448796
public holiday,0.017722975
KUL holiday,0.058696901
temp,0.070894926
rain intensity,0.028863185
rain,0.036273689
windspeed,0.034995889
hour_sin,0.808269123
hour_cos,0.894459485
