,0
0,41.3024659120301
1,41.27924676605905
2,41.277456435187666
3,41.44885642929381
4,41.39018963853866
5,41.31398545902087
6,41.321173084647484
7,41.385522420945215
8,41.304149566264826
9,41.24361393324047
10,40.8238296873322
11,40.97208240281266
12,41.63744846537166
13,43.456354892872405
14,44.0946670458136
15,45.150889919364296
16,45.03199203837458
17,46.4626185571044
18,50.38012925552968
19,48.59959832460373
20,48.42276879513724
21,48.23531887519215
22,48.218811867727574
23,48.08878434095953
24,48.14858486095116
25,49.05960972341296
26,49.445658337385595
27,49.68806101544071
28,49.649566809061355
29,49.53256627068458
30,48.7250038312265
31,51.37079855705834
32,51.93137563270379
33,52.01437143547696
34,53.743853829915686
35,54.619675940861974
36,54.51021680997338
37,54.594763271450404
38,54.48701146725206
39,54.46541721249966
40,54.37907749783201
41,54.33628227112347
42,54.268989341708405
43,54.29491271554269
44,54.42664135716917
45,54.42374933752038
46,54.360418465712904
47,54.34802711306618
48,54.22569607896646
49,53.94372869177236
50,54.05316561240354
51,54.34518233936544
52,53.777581115405255
53,54.969865534177735
54,55.14968144978841
55,55.193552233677394
56,55.519469712290274
57,55.196744507264974
58,55.222645344193936
59,55.14999542108992
60,55.10875175933816
61,55.03061960598204
62,55.043840556172114
63,55.193338235007595
64,55.53940846524213
65,55.550004806318746
66,55.4839316817968
67,54.909841489931786
68,54.78496610673723
69,54.55841286806822
70,54.4200260039768
71,54.412241974725795
72,54.2674136579074
73,54.09638748794304
74,54.09784062678818
75,54.071549380566964
76,54.05313070913772
77,54.02714401101152
78,54.03366278868325
79,54.044108417973774
80,54.021608144588114
81,53.975164638224435
82,53.973683178282826
83,53.96114043611725
84,53.947156477487745
85,53.91829601273399
86,53.90697658417723
87,53.89401531143128
88,53.86674240449034
89,53.8338863705292
90,53.82156508005398
91,53.811705511655255
92,53.79997274633325
93,53.797331700397784
94,53.819463373794754
95,53.82367428193401
96,53.75954537294262
97,53.41738745969337
98,53.369943041712176
99,53.43028672651281
