,0
0,51.49614354630572
1,51.51334596593167
2,51.52130129647288
3,51.44381347473849
4,51.34391119713288
5,51.306726879611396
6,51.48935435385757
7,51.47825058227311
8,51.53018534803184
9,51.43075480622122
10,51.3403437599327
11,51.318886943017766
12,51.314821518276766
13,51.2580398586513
14,51.20640925593222
15,51.18197995747131
16,51.13155329636246
17,51.109548028949796
18,51.21249131634418
19,51.22547407666475
20,51.05313320030772
21,51.262846999474206
22,51.408017939076316
23,51.61877480579065
24,51.49555319206262
25,51.376487860109634
26,51.884136810956115
27,51.89172345138101
28,52.081157009081586
29,52.06370047743968
30,52.06305475586447
31,52.05327213373384
32,52.04924349585712
33,52.08054938930322
34,52.08947432805966
35,52.10795124051161
36,52.113538694147685
37,52.12314262113593
38,52.16216538223206
39,52.17509162554909
40,52.17032352709631
41,52.15033427923635
42,52.13886853971698
43,52.173005589608465
44,52.17850522213751
45,52.1526505624529
46,52.12467436366735
47,52.11904467732418
48,52.067006467721974
49,52.06495211737836
50,52.02809844640768
51,51.97000669053884
52,51.9355054545201
53,51.911606103789225
54,51.822281867497786
55,51.793010932177424
56,51.77327896136399
57,51.76184512659786
58,51.72118739199554
59,51.68654105532576
60,51.541746286143464
61,51.472640149841354
62,51.38609398970084
63,51.09899120566976
64,51.040727650608076
65,50.387519362517686
66,50.36845002389152
67,50.46091597002893
68,50.171922215201924
69,50.17007629728678
70,49.717968084998574
71,49.69856534626538
72,49.423228678930265
73,49.3804814887588
74,48.93771301658165
75,48.74985850708014
76,48.74321193754317
77,48.73924745546593
78,48.73649554841311
79,48.81808045888907
80,50.50621131470592
81,50.62808890485986
82,50.9221010833298
83,51.0304533270786
84,50.88447064562851
85,50.96233186269637
86,51.015756730334196
87,51.019099488613186
88,51.24127969514986
89,51.244219462896496
90,51.238025410306555
91,51.30836953778265
92,51.25271310226907
93,51.23819101195425
94,51.237806448533185
95,51.29533135114437
96,51.35512779635542
97,51.339613060313205
98,51.338801577151614
99,51.29432792353922
