,0
0,51.24841504240854
1,51.24841504240854
2,51.18376694103284
3,51.218737346448485
4,51.179300060245566
5,51.26809492603077
6,51.07423221358294
7,50.575306383502095
8,50.219867998026864
9,50.48748285081271
10,50.48445424169223
11,50.48525301946147
12,51.09401813032114
13,51.38818429923849
14,51.49209386337074
15,51.491557956335875
16,51.5549203030707
17,51.58479303455687
18,51.57515945497475
19,51.571160568354095
20,51.5751606078513
21,51.41748096635268
22,51.38375351323739
23,51.35764506445347
24,51.3094787967478
25,51.5817146735609
26,51.641379794394226
27,51.4653900275864
28,51.290572220925036
29,51.83743025598138
30,51.80075112119473
31,51.714793828611135
32,51.742559198617016
33,51.738762910053495
34,51.737094294085765
35,51.724514311976066
36,51.71360121415077
37,51.74039949585953
38,51.82479723927704
39,51.817224040111995
40,51.7560885566319
41,51.740848566127006
42,51.710712818338585
43,51.678861233301475
44,51.66889803623392
45,51.67675996862508
46,51.66177529113576
47,51.613285219899375
48,51.57377538064753
49,51.56918585259629
50,51.45590118798008
51,51.62905899857615
52,51.61435646982854
53,51.569055300547504
54,51.55501849753993
55,51.5268475292144
56,51.51568671648845
57,51.5073144014213
58,51.490494062119076
59,51.4797011407742
60,51.46677499261091
61,51.45943616621993
62,51.456338862350876
63,51.44300914771722
64,51.441596097846556
65,51.440118527252025
66,51.44214255045024
67,51.42327592765614
68,51.42348394314209
69,51.48771985412407
70,51.48870039012351
71,51.515357634219896
72,51.51945182736216
73,51.535447082718456
74,51.5402128428045
75,51.536158192841064
76,51.53693718624098
77,51.57490767122667
78,51.5799173823691
79,51.57893587942447
80,51.5806220507561
81,51.59069268310273
82,51.59520766436678
83,51.6133299165935
84,51.60111569558632
85,51.600026758364635
86,51.58616508463584
87,51.58596063328333
88,51.60383583638248
89,51.61067434863805
90,51.612356815782626
91,51.62284466967718
92,51.62478715317332
93,51.62543040528761
94,51.62479677322901
95,51.62320013344407
96,51.62906171654786
97,51.62892562223782
98,51.65905112154448
99,51.663518614310554
