month,description,lamax,laeq,date,lamax_standardized,laeq_standardized
1,MP 03: Naamsestraat 62 Taste,53.2390092852664,51.72754403713957,Jan 2022,0.23851632693525543,0.39173881757858803
1,MP 05: Calvariekapel KU Leuven,50.37479216433597,48.56019744481425,Jan 2022,-0.7802598670824952,-0.7966681679046846
1,MP 06: Parkstraat 2 La Filosovia,50.086347702532265,48.27479471758415,Jan 2022,-0.8828569603106858,-0.903752942124869
1,MP 07: Naamsestraat 81,48.80044307576046,47.515371334973416,Jan 2022,-1.340241636897924,-1.188693041519345
2,MP 01: Naamsestraat 35  Maxim,57.28766796136888,55.24550178458955,Feb 2022,1.678587698192457,1.7116971612075438
2,MP 02: Naamsestraat 57 Xior,52.20764833431895,50.04291346343387,Feb 2022,-0.1283294602037621,-0.24034443677746706
2,MP 03: Naamsestraat 62 Taste,54.835516736678464,53.14449781695498,Feb 2022,0.806379626538118,0.9233881716845754
2,MP 05: Calvariekapel KU Leuven,53.40379650705641,51.37794441683816,Feb 2022,0.2971296553073218,0.2605669932208753
2,MP 06: Parkstraat 2 La Filosovia,53.14980049277376,51.20109332109667,Feb 2022,0.2067855641294492,0.19421142667857905
2,MP 07: Naamsestraat 81,52.477238783140436,50.869773678475106,Feb 2022,-0.032438569325812655,0.06989835697116135
3,MP 01: Naamsestraat 35  Maxim,57.35157595030182,55.0147738026468,Mar 2022,1.7013191933911447,1.6251266715264896
3,MP 02: Naamsestraat 57 Xior,54.36971156973931,52.35133005751257,Mar 2022,0.6406969303276017,0.625786984537747
3,MP 03: Naamsestraat 62 Taste,55.58291410561263,53.692100101694415,Mar 2022,1.0722221289718314,1.1288517549968056
3,MP 05: Calvariekapel KU Leuven,54.17772713405287,51.848478582078734,Mar 2022,0.5724097982977028,0.43711416688206506
3,MP 06: Parkstraat 2 La Filosovia,54.21998323504548,52.08512065420711,Mar 2022,0.5874399122610242,0.5259036578263239
3,MP 07: Naamsestraat 81,53.231378197375214,51.43221069168399,Mar 2022,0.23580201780652918,0.28092801725885197
3,MP08bis - Vrijthof,46.769168485943474,45.3925907338168,Mar 2022,-2.062747685931832,-1.9851727514366697
4,MP 01: Naamsestraat 35  Maxim,55.052380590438595,52.6435373611602,Apr 2022,0.8835161431587569,0.7354248756689258
4,MP 02: Naamsestraat 57 Xior,53.40191395922221,51.32030823203516,Apr 2022,0.29646005002371156,0.23894155923696572
4,MP 03: Naamsestraat 62 Taste,54.835791464052626,53.0507205369227,Apr 2022,0.8064773445870034,0.8882023871733293
4,MP 05: Calvariekapel KU Leuven,52.861174467861815,50.67149999556286,Apr 2022,0.10412389054140038,-0.004495089701631694
4,MP 06: Parkstraat 2 La Filosovia,52.69428359331323,50.65772911752938,Apr 2022,0.04476231185854207,-0.009662003764931277
4,MP 07: Naamsestraat 81,50.88886110633136,49.253079375637064,Apr 2022,-0.5974101814348278,-0.5366948108050286
4,MP08bis - Vrijthof,46.60306632857004,44.98754323310301,Apr 2022,-2.121828725029901,-2.1371489451589416
5,MP 01: Naamsestraat 35  Maxim,55.55852373902475,53.226776454949906,May 2022,1.0635466955832387,0.9542595983816556
5,MP 02: Naamsestraat 57 Xior,53.619909881216905,51.56017818398107,May 2022,0.373999233103868,0.32894216958721456
5,MP 03: Naamsestraat 62 Taste,55.21991822610918,53.41634185981651,May 2022,0.9431077689387762,1.0253856481468784
5,MP 05: Calvariekapel KU Leuven,53.29053844002603,51.14009682488891,May 2022,0.25684478247842984,0.1713251841817979
5,MP 06: Parkstraat 2 La Filosovia,53.89248236695404,51.86333427923874,May 2022,0.4709508076140542,0.4426881114329887
5,MP 07: Naamsestraat 81,52.93563777059845,51.203595434385626,May 2022,0.13060981564870308,0.19515023423385877
5,MP08bis - Vrijthof,47.344038593584145,45.604638032998174,May 2022,-1.8582715741046372,-1.9056113632985319
6,MP 01: Naamsestraat 35  Maxim,54.05803793392566,51.778645932406974,Jun 2022,0.5298374294365672,0.41091254787206644
6,MP 02: Naamsestraat 57 Xior,52.98225132560624,51.030212903377645,Jun 2022,0.14718983669998847,0.13009609348717696
6,MP 03: Naamsestraat 62 Taste,54.92806059932654,53.21412702123785,Jun 2022,0.8392966437151133,0.9495134567935389
6,MP 05: Calvariekapel KU Leuven,52.99321921032122,50.93852596896533,Jun 2022,0.15109101436026393,0.0956946188910078
6,MP 06: Parkstraat 2 La Filosovia,53.53450945003526,51.504040937549675,Jun 2022,0.3436230700640877,0.30787914605624994
6,MP 07: Naamsestraat 81,52.10472096695601,50.43064230320656,Jun 2022,-0.16493979634623204,-0.09486630603683742
6,MP08bis - Vrijthof,46.06501390876928,44.51289360273777,Jun 2022,-2.313209117396451,-2.3152402654299533
7,MP 01: Naamsestraat 35  Maxim,52.15357415290547,49.83898974066207,Jul 2022,-0.14756315877098214,-0.3168578114851716
7,MP 02: Naamsestraat 57 Xior,51.56009826301692,49.56356240959825,Jul 2022,-0.35865717951531356,-0.4201997586602545
7,MP 03: Naamsestraat 62 Taste,53.49210442307183,51.87873768293807,Jul 2022,0.3285399844762923,0.44846755868415444
7,MP 05: Calvariekapel KU Leuven,50.64053154446811,48.59176308811483,Jul 2022,-0.6857387665998224,-0.7848245537291536
7,MP 06: Parkstraat 2 La Filosovia,50.63514578846596,48.65071456734661,Jul 2022,-0.6876544314290287,-0.762705613574838
7,MP 07: Naamsestraat 81,48.90830095662803,47.2806213564539,Jul 2022,-1.301877561576222,-1.2767726078638129
7,MP08bis - Vrijthof,45.37134336940045,43.95564655719588,Jul 2022,-2.5599414711821344,-2.5243226194629913
