Hour,"['sat', 'sun', 'mon', 'tue', 'wed', 'thu', 'fri']_1","['sat', 'sun', 'mon', 'tue', 'wed', 'thu', 'fri']_2","['sat', 'sun', 'mon', 'tue', 'wed', 'thu', 'fri']_3","['sat', 'sun', 'mon', 'tue', 'wed', 'thu', 'fri']_4","['sat', 'sun', 'mon', 'tue', 'wed', 'thu', 'fri']_5","['sat', 'sun', 'mon', 'tue', 'wed', 'thu', 'fri']_6","['sat', 'sun', 'mon', 'tue', 'wed', 'thu', 'fri']_7",Holiday,is_kul_holiday,LC_TEMP_QCL3,LC_RAININ,LC_DAILYRAIN,LC_WINDSPEED
20,False,False,False,False,False,True,False,0,False,21.11145682589772,9.25925925925926e-06,0.0,0.0228703703703703
9,False,False,False,False,True,False,False,0,False,4.396293472037219,4.421768707482993e-05,3.91156462585034e-05,1.1342687074829934
7,False,False,False,False,False,False,True,0,False,12.402977406689486,0.0002407407407407,0.0001666666666666,0.0199537037037037
11,False,False,False,False,False,False,True,0,False,7.460331981481482,0.0001805555555555,0.0022361111111111,0.2678395061728395
10,False,False,False,False,False,True,False,0,False,14.6429855890564,2.9320987654320985e-05,0.0144814814814814,0.580108024691358
10,False,False,False,False,True,False,False,0,False,10.390936567948296,9.25925925925926e-06,1.851851851851852e-05,0.1165895061728395
5,False,False,False,False,False,False,True,0,False,18.06800058823967,0.0,0.0,0.1360802469135802
20,False,False,False,True,False,False,False,0,False,24.58733733890214,0.0,5.5555555555555565e-05,0.1063425925925925
18,True,False,False,False,False,False,False,0,True,7.033097803642598,1.3888888888888891e-05,0.0001296296296296,1.1700617283950618
9,False,False,False,False,False,True,False,0,False,14.61415331841845,0.0,1.851851851851852e-05,0.3737037037037037
13,False,False,False,False,False,False,True,0,False,17.915921543209876,0.0,0.0002129629629629,0.3961111111111111
23,False,False,True,False,False,False,False,0,False,7.907108208708782,2.2108843537414966e-05,0.0003503401360544,0.0485374149659863
20,False,False,False,False,False,False,True,0,False,16.65132777606029,6.17283950617284e-06,0.0042361111111111,0.3421604938271605
