month,description,lamax,laeq
1,MP 03: Naamsestraat 62 Taste,53.2390092852664,51.72754403713957
1,MP 05: Calvariekapel KU Leuven,50.37479216433597,48.56019744481425
1,MP 06: Parkstraat 2 La Filosovia,50.086347702532265,48.27479471758415
1,MP 07: Naamsestraat 81,48.80044307576046,47.515371334973416
2,MP 01: Naamsestraat 35  Maxim,57.28766796136888,55.24550178458955
2,MP 02: Naamsestraat 57 Xior,52.20764833431895,50.04291346343387
2,MP 03: Naamsestraat 62 Taste,54.835516736678464,53.14449781695498
2,MP 05: Calvariekapel KU Leuven,53.40379650705641,51.37794441683816
2,MP 06: Parkstraat 2 La Filosovia,53.14980049277376,51.20109332109667
2,MP 07: Naamsestraat 81,52.477238783140436,50.869773678475106
3,MP 01: Naamsestraat 35  Maxim,57.35157595030182,55.0147738026468
3,MP 02: Naamsestraat 57 Xior,54.36971156973931,52.35133005751257
3,MP 03: Naamsestraat 62 Taste,55.58291410561263,53.692100101694415
3,MP 05: Calvariekapel KU Leuven,54.17772713405287,51.848478582078734
3,MP 06: Parkstraat 2 La Filosovia,54.21998323504548,52.08512065420711
3,MP 07: Naamsestraat 81,53.231378197375214,51.43221069168399
3,MP08bis - Vrijthof,46.769168485943474,45.3925907338168
4,MP 01: Naamsestraat 35  Maxim,55.052380590438595,52.6435373611602
4,MP 02: Naamsestraat 57 Xior,53.40191395922221,51.32030823203516
4,MP 03: Naamsestraat 62 Taste,54.835791464052626,53.0507205369227
4,MP 05: Calvariekapel KU Leuven,52.861174467861815,50.67149999556286
4,MP 06: Parkstraat 2 La Filosovia,52.69428359331323,50.65772911752938
4,MP 07: Naamsestraat 81,50.88886110633136,49.253079375637064
4,MP08bis - Vrijthof,46.60306632857004,44.98754323310301
5,MP 01: Naamsestraat 35  Maxim,55.55852373902475,53.226776454949906
5,MP 02: Naamsestraat 57 Xior,53.619909881216905,51.56017818398107
5,MP 03: Naamsestraat 62 Taste,55.21991822610918,53.41634185981651
5,MP 05: Calvariekapel KU Leuven,53.29053844002603,51.14009682488891
5,MP 06: Parkstraat 2 La Filosovia,53.89248236695404,51.86333427923874
5,MP 07: Naamsestraat 81,52.93563777059845,51.203595434385626
5,MP08bis - Vrijthof,47.344038593584145,45.604638032998174
6,MP 01: Naamsestraat 35  Maxim,54.05803793392566,51.778645932406974
6,MP 02: Naamsestraat 57 Xior,52.98225132560624,51.030212903377645
6,MP 03: Naamsestraat 62 Taste,54.92806059932654,53.21412702123785
6,MP 05: Calvariekapel KU Leuven,52.99321921032122,50.93852596896533
6,MP 06: Parkstraat 2 La Filosovia,53.53450945003526,51.504040937549675
6,MP 07: Naamsestraat 81,52.10472096695601,50.43064230320656
6,MP08bis - Vrijthof,46.06501390876928,44.51289360273777
7,MP 01: Naamsestraat 35  Maxim,52.15357415290547,49.83898974066207
7,MP 02: Naamsestraat 57 Xior,51.56009826301692,49.56356240959825
7,MP 03: Naamsestraat 62 Taste,53.49210442307183,51.87873768293807
7,MP 05: Calvariekapel KU Leuven,50.64053154446811,48.59176308811483
7,MP 06: Parkstraat 2 La Filosovia,50.63514578846596,48.65071456734661
7,MP 07: Naamsestraat 81,48.90830095662803,47.2806213564539
7,MP08bis - Vrijthof,45.37134336940045,43.95564655719588
8,MP 01: Naamsestraat 35  Maxim,52.65588966863404,50.315061559875275
8,MP 02: Naamsestraat 57 Xior,51.91401146013055,49.96696563416966
8,MP 03: Naamsestraat 62 Taste,53.75478741218794,52.13742400510771
8,MP 05: Calvariekapel KU Leuven,51.57897349293405,49.58084425488572
8,MP 06: Parkstraat 2 La Filosovia,52.15782535806562,50.279197283331094
8,MP 07: Naamsestraat 81,50.48974771245105,48.872873825564085
8,MP08bis - Vrijthof,45.80942346371302,44.304749366869316
9,MP 01: Naamsestraat 35  Maxim,54.383994347174244,52.21762268043941
9,MP 02: Naamsestraat 57 Xior,53.390308021966405,51.487444781126854
9,MP 03: Naamsestraat 62 Taste,55.27309027791174,53.590991074756154
9,MP 05: Calvariekapel KU Leuven,53.41838773934652,51.37802589682245
9,MP 06: Parkstraat 2 La Filosovia,53.334671952619345,51.473487590550874
9,MP08bis - Vrijthof,46.58142818562015,45.120544452846495
10,MP 01: Naamsestraat 35  Maxim,56.64564632028951,54.31917137238204
10,MP 02: Naamsestraat 57 Xior,54.79249599967439,52.78303289282819
10,MP 03: Naamsestraat 62 Taste,55.936151999534644,54.072878011383295
10,MP 04: His & Hears,55.480707542293395,53.64632883768347
10,MP 05: Calvariekapel KU Leuven,54.46246532766874,52.2267464356413
10,MP 06: Parkstraat 2 La Filosovia,54.13664148810096,52.17568616439306
10,MP 07: Naamsestraat 81,51.94829181829763,50.26218304281117
10,MP08bis - Vrijthof,47.87697241175898,46.61049421085818
11,MP 01: Naamsestraat 35  Maxim,55.734007085679906,53.5352846805595
11,MP 02: Naamsestraat 57 Xior,54.17979559143577,52.186685715548045
11,MP 03: Naamsestraat 62 Taste,55.55733532460538,53.732783573008724
11,MP 04: His & Hears,56.28536607949604,54.5599116582008
11,MP 05: Calvariekapel KU Leuven,53.9838802961806,51.86825306920256
11,MP 06: Parkstraat 2 La Filosovia,53.491243170331856,51.57237339673287
11,MP 07: Naamsestraat 81,52.74853749262581,51.03817167055447
11,MP08bis - Vrijthof,46.80949074958263,45.289958558222786
12,MP 01: Naamsestraat 35  Maxim,53.73056662700773,51.47120216141185
12,MP 02: Naamsestraat 57 Xior,52.74743536768453,50.79210064781529
12,MP 03: Naamsestraat 62 Taste,54.27910529066945,52.571202292498974
12,MP 04: His & Hears,54.776650869692325,53.13322438610777
