month,day,hour,description,lamax,laeq
1,1,0,MP 03: Naamsestraat 62 Taste,60.32252777777778,57.12683333333334
1,1,0,MP 05: Calvariekapel KU Leuven,53.23097222222222,49.98763888888889
1,1,0,MP 06: Parkstraat 2 La Filosovia,53.66605555555555,50.752
1,1,0,MP 07: Naamsestraat 81,50.05686111111111,47.44022222222222
1,1,1,MP 03: Naamsestraat 62 Taste,53.03358333333333,50.85380555555556
1,1,1,MP 05: Calvariekapel KU Leuven,53.59963888888889,50.57880555555556
1,1,1,MP 06: Parkstraat 2 La Filosovia,59.880694444444444,56.942166666666665
1,1,1,MP 07: Naamsestraat 81,50.097277777777784,47.87833333333333
1,1,2,MP 03: Naamsestraat 62 Taste,52.173701749514024,50.04990280477645
1,1,2,MP 05: Calvariekapel KU Leuven,51.07808333333333,47.974361111111115
1,1,2,MP 06: Parkstraat 2 La Filosovia,52.107194444444445,48.96880555555556
1,1,2,MP 07: Naamsestraat 81,45.821583333333336,43.8565
1,1,3,MP 03: Naamsestraat 62 Taste,50.821311475409836,48.9649069185885
1,1,3,MP 05: Calvariekapel KU Leuven,48.187777777777775,45.57508333333333
1,1,3,MP 06: Parkstraat 2 La Filosovia,47.42761111111111,44.740861111111116
1,1,3,MP 07: Naamsestraat 81,43.687777777777775,41.45077777777777
1,1,4,MP 03: Naamsestraat 62 Taste,49.13485143015829,47.28589280755346
1,1,4,MP 05: Calvariekapel KU Leuven,44.372527777777776,41.67525
1,1,4,MP 06: Parkstraat 2 La Filosovia,44.13380555555556,41.332611111111106
1,1,4,MP 07: Naamsestraat 81,44.44661111111111,41.690916666666666
1,1,5,MP 03: Naamsestraat 62 Taste,49.44767991108642,47.538649624895804
1,1,5,MP 05: Calvariekapel KU Leuven,43.60008333333333,41.19727777777778
1,1,5,MP 06: Parkstraat 2 La Filosovia,42.75413888888889,40.22888888888889
1,1,5,MP 07: Naamsestraat 81,40.86858333333333,38.86427777777778
1,1,6,MP 03: Naamsestraat 62 Taste,47.425444444444445,46.14680555555555
1,1,6,MP 05: Calvariekapel KU Leuven,40.90402777777778,39.34708333333333
1,1,6,MP 06: Parkstraat 2 La Filosovia,40.27561111111111,38.391194444444444
1,1,6,MP 07: Naamsestraat 81,39.32811111111111,38.04225
1,1,7,MP 03: Naamsestraat 62 Taste,47.807916666666664,46.29988888888889
1,1,7,MP 05: Calvariekapel KU Leuven,41.56666666666667,39.343944444444446
1,1,7,MP 06: Parkstraat 2 La Filosovia,40.76261111111111,38.32497222222222
1,1,7,MP 07: Naamsestraat 81,37.978388888888894,36.79775
1,1,8,MP 03: Naamsestraat 62 Taste,47.40758333333333,46.04758333333333
1,1,8,MP 05: Calvariekapel KU Leuven,41.83247222222222,39.92102777777778
1,1,8,MP 06: Parkstraat 2 La Filosovia,40.85675,38.61719444444444
1,1,8,MP 07: Naamsestraat 81,38.288444444444444,37.379
1,1,9,MP 03: Naamsestraat 62 Taste,47.685861111111116,46.281444444444446
1,1,9,MP 05: Calvariekapel KU Leuven,42.76433333333333,40.778305555555555
1,1,9,MP 06: Parkstraat 2 La Filosovia,41.872972222222224,39.649638888888894
1,1,9,MP 07: Naamsestraat 81,39.722027777777775,38.74069444444444
1,1,10,MP 03: Naamsestraat 62 Taste,49.30561111111111,47.92191666666667
1,1,10,MP 05: Calvariekapel KU Leuven,46.03493607559756,44.25038910505837
1,1,10,MP 06: Parkstraat 2 La Filosovia,45.33027777777778,43.25577777777777
1,1,10,MP 07: Naamsestraat 81,43.55086111111111,42.45883333333333
1,1,11,MP 03: Naamsestraat 62 Taste,51.11702777777777,49.678472222222226
1,1,11,MP 05: Calvariekapel KU Leuven,49.507694444444446,47.659055555555554
1,1,11,MP 06: Parkstraat 2 La Filosovia,48.233333333333334,46.268055555555556
1,1,11,MP 07: Naamsestraat 81,46.85802777777778,45.68438888888888
1,1,12,MP 03: Naamsestraat 62 Taste,51.854416666666665,50.39055555555556
1,1,12,MP 05: Calvariekapel KU Leuven,50.23622222222222,48.221888888888884
1,1,12,MP 06: Parkstraat 2 La Filosovia,49.33152777777778,47.40286111111111
1,1,12,MP 07: Naamsestraat 81,48.38294444444445,46.99355555555555
1,1,13,MP 03: Naamsestraat 62 Taste,52.16372222222222,50.540888888888894
