month,day,description,lamax,laeq
1,21,MP 06: Parkstraat 2 La Filosovia,51.90526973691826,50.14226785032234
1,21,MP 07: Naamsestraat 81,50.205695799622674,48.91980855816753
1,22,MP 03: Naamsestraat 62 Taste,53.11620999016033,51.39656306071655
1,22,MP 05: Calvariekapel KU Leuven,50.03940162037037,48.01017824074074
1,22,MP 06: Parkstraat 2 La Filosovia,49.48807740830334,47.55014757115244
1,22,MP 07: Naamsestraat 81,47.64376092315883,46.28805888957048
1,23,MP 03: Naamsestraat 62 Taste,51.648295743991106,49.900483953132955
1,23,MP 05: Calvariekapel KU Leuven,47.61749421296296,45.479104166666666
1,23,MP 06: Parkstraat 2 La Filosovia,47.34465097975671,45.26262225257236
1,23,MP 07: Naamsestraat 81,45.25149074074074,43.95886111111111
1,24,MP 03: Naamsestraat 62 Taste,53.28968351353228,51.677184960526006
1,24,MP 05: Calvariekapel KU Leuven,51.17653302159772,49.29071274798028
1,24,MP 06: Parkstraat 2 La Filosovia,50.24839755089758,48.42100371532078
1,24,MP 07: Naamsestraat 81,48.619693514971246,47.35183509068392
1,25,MP 03: Naamsestraat 62 Taste,53.51859878215369,51.90407492301637
1,25,MP 05: Calvariekapel KU Leuven,50.32317476851852,48.406665509259255
1,25,MP 06: Parkstraat 2 La Filosovia,50.99511226851852,49.16776620370371
1,25,MP 07: Naamsestraat 81,49.81821874999999,48.57274074074074
1,26,MP 03: Naamsestraat 62 Taste,53.16903325187339,51.58892067499797
1,26,MP 05: Calvariekapel KU Leuven,49.75411226851852,48.120190972222225
1,26,MP 06: Parkstraat 2 La Filosovia,54.35236060340833,52.33257478247438
1,26,MP 07: Naamsestraat 81,49.03165430155442,47.73545064178984
1,27,MP 03: Naamsestraat 62 Taste,54.307512731481474,52.778921296296296
1,27,MP 05: Calvariekapel KU Leuven,52.132873446144586,50.60271534063289
1,27,MP 06: Parkstraat 2 La Filosovia,52.57236805555555,50.88412615740741
1,27,MP 07: Naamsestraat 81,51.1565636574074,49.92347337962963
1,28,MP 03: Naamsestraat 62 Taste,54.50976386524453,52.90343373982327
1,28,MP 05: Calvariekapel KU Leuven,52.71471296296296,50.82938888888889
1,28,MP 06: Parkstraat 2 La Filosovia,52.54394560185185,50.7999212962963
1,28,MP 07: Naamsestraat 81,51.68343036377736,50.267058646512105
1,29,MP 03: Naamsestraat 62 Taste,53.34939814814815,51.69920254629629
1,29,MP 05: Calvariekapel KU Leuven,51.49954976851851,49.426177083333336
1,29,MP 06: Parkstraat 2 La Filosovia,51.198388888888886,49.1911875
1,29,MP 07: Naamsestraat 81,49.31240046296297,47.850494212962964
1,30,MP 03: Naamsestraat 62 Taste,51.729224928234096,50.01318524863413
1,30,MP 05: Calvariekapel KU Leuven,48.589634139284016,46.46840356948576
1,30,MP 06: Parkstraat 2 La Filosovia,48.13122685185185,45.99547453703704
1,30,MP 07: Naamsestraat 81,45.73537268518519,44.41584027777778
1,31,MP 03: Naamsestraat 62 Taste,54.22455252738092,52.69373885660037
1,31,MP 05: Calvariekapel KU Leuven,52.480992835565225,50.72029305894744
1,31,MP 06: Parkstraat 2 La Filosovia,51.580934356588074,49.908136264194184
1,31,MP 07: Naamsestraat 81,50.960872232317506,49.561237977291405
2,1,MP 03: Naamsestraat 62 Taste,54.94899749953695,53.33208696054825
2,1,MP 05: Calvariekapel KU Leuven,53.20372222222222,51.2391400462963
2,1,MP 06: Parkstraat 2 La Filosovia,53.183853009259266,51.231712962962966
2,1,MP 07: Naamsestraat 81,51.41307986111111,50.02971180555555
2,2,MP 03: Naamsestraat 62 Taste,54.271620902018896,52.57871365067604
2,2,MP 05: Calvariekapel KU Leuven,52.78829255306836,50.71998541632908
2,2,MP 06: Parkstraat 2 La Filosovia,52.609424768518515,50.58191550925926
2,2,MP 07: Naamsestraat 81,51.14563068589551,49.608401814856826
2,3,MP 03: Naamsestraat 62 Taste,54.32165580016444,52.67035818925084
2,3,MP 05: Calvariekapel KU Leuven,52.41939004629629,50.483148148148146
2,3,MP 06: Parkstraat 2 La Filosovia,52.17410185185186,50.30301273148148
2,3,MP 07: Naamsestraat 81,50.77181481481481,49.3467662037037
2,4,MP 03: Naamsestraat 62 Taste,55.437792959703565,53.807794117647056
2,4,MP 05: Calvariekapel KU Leuven,54.1289375,52.22254398148148
