Year,Month,Day,LC_HUMIDITY,LC_DWPTEMP,LC_n,LC_RAD,LC_RAININ,LC_DAILYRAIN,LC_WINDDIR,LC_WINDSPEED,Hour,Minute,LC_RAD60,LC_TEMP_QCL0,LC_TEMP_QCL1,LC_TEMP_QCL2,LC_TEMP_QCL3
2022,6,1,71.17330824541361,7.709769504737585,34.747732007257575,129.62878838787717,1.8143941939385794e-06,1.5254351186076205e-05,-16.448827363752436,0.2669524897520328,11.5,25.0,129.4020962681087,13.326168268261542,13.299399837793999,13.30460536631522,13.135488584761424
2022,6,2,63.14807588805167,7.474393164693219,34.88145855758881,202.58402852529602,4.0365984930032293e-07,0.0,16.347416576964477,0.14389531754574814,11.5,25.0,202.86042167066987,15.368181512378902,15.340509184224745,15.345671596434359,15.043826864999314
2022,6,3,56.72166128163705,9.760891222401723,34.807619816908996,134.90111739364568,3.365643511039311e-07,9.42380183091007e-07,15.653002154011848,0.12569130317716748,11.5,25.0,135.11625267094018,19.19695745826602,19.185650091086973,19.190384791849404,18.706978333152094
2022,6,4,60.3212104945313,12.756481245386835,34.71153459035094,190.29483996510768,0.0001870764275649198,0.00017325370730725357,20.87593102059988,0.27126618801583574,11.5,25.0,190.49796653110207,20.93324297121385,20.92387253907043,20.9295809823422,20.453273036708858
2022,6,5,92.34222072224097,16.112853189335134,34.71812352345596,54.41059736753291,0.0015454606817414784,0.020973337833277084,-14.713736078299021,0.20710833614579818,11.5,25.0,54.444734901803066,17.38572797840027,17.381244227112198,17.38601650366748,17.373054574669652
2022,6,6,75.59666306403675,11.466071332072413,34.772696568495,120.14057011618482,5.944339367738449e-06,0.00010868684139421778,-26.96683328830046,0.4346703593623345,11.5,25.0,119.77428437353355,16.043953661172655,16.03692594601926,16.041966668927166,15.877328410329495
2022,6,7,84.75365273530412,12.784920149507306,34.6041454298335,97.3278967040435,0.00017376826367652057,0.001766156982670744,-15.200271831464493,0.12014950730547061,11.5,25.0,97.21851228542579,15.400342507645261,15.400399890628204,15.406254972998838,15.274404390139184
2022,6,8,89.20555555555555,13.297544715447154,34.77994579945799,64.89722222222223,0.0009671409214092141,0.011392411924119241,-14.38069105691057,0.21381436314363145,11.5,25.0,64.88053157042634,15.107127371273714,15.109525460602352,15.115084438099123,15.142126350685272
2022,6,9,72.74873478320339,11.750922582410066,35.01251538777185,147.98768978251948,2.4620434961017648e-06,4.089727807413486e-05,-24.916974422103678,0.27322732868280675,11.5,25.0,147.95196358200843,17.051555874709344,17.031814682430575,17.03782434011548,16.79925009275117
2022,6,10,69.98679193899783,13.767701525054466,34.88269335511983,122.39351851851852,1.3616557734204792e-07,0.0,-14.677219498910675,0.25929125816993465,11.5,25.0,122.12257758503863,19.521091367102397,19.513402976922027,19.519241499385497,19.26353169713513
